id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
376,2015,8,12,14,22,45,21.44,805.0,24.1,99.9,5.24,18.92,34.95
377,2015,8,12,14,22,47,21.44,805.0,24.1,99.9,5.24,18.92,34.96
378,2015,8,12,14,22,49,21.44,804.0,24.1,99.9,5.28,18.92,34.96
379,2015,8,12,14,22,51,21.44,804.0,24.1,99.9,5.28,18.92,34.96
380,2015,8,12,14,22,53,21.44,804.0,24.1,99.9,5.28,18.92,34.84
381,2015,8,12,14,22,55,21.44,802.0,24.1,99.9,5.28,18.92,34.95
382,2015,8,12,14,22,57,21.44,805.0,24.1,99.9,5.28,18.92,34.96
383,2015,8,12,14,22,59,21.44,804.0,24.1,99.9,5.24,18.92,35.38
384,2015,8,12,14,23,1,21.44,805.0,24.1,99.9,5.24,18.92,34.96
385,2015,8,12,14,23,3,21.44,805.0,24.1,99.9,5.24,18.92,35.37
386,2015,8,12,14,23,5,21.44,804.0,24.1,99.9,5.28,18.92,34.95
387,2015,8,12,14,23,7,21.44,805.0,24.1,99.9,5.24,18.92,34.96
388,2015,8,12,14,23,9,21.44,806.0,24.1,99.9,5.28,18.97,34.95
389,2015,8,12,14,23,11,21.44,804.0,24.1,99.9,5.23,18.95,34.95
390,2015,8,12,14,23,13,21.44,805.0,24.1,99.9,4.8,18.81,34.95
